Subject,Year,Race,H,HW,Y2,Y3,Y4
10553,1985,Hispanic,1,9.077418123,1,0,0
10553,1986,Hispanic,1,6.859977224,0,1,0
10553,1987,Hispanic,1,9.582323702,0,0,1
10666,1984,Black,0,2.231810706,0,0,0
10666,1985,Black,0,2.027027042,1,0,0
10666,1986,Black,0,2.92919015,0,1,0
10666,1987,Black,0,2.00296443,0,0,1
11890,1984,Hispanic,1,4.386852788,0,0,0
11890,1985,Hispanic,1,4.846618685,1,0,0
11890,1986,Hispanic,1,4.593340509,0,1,0
11890,1987,Hispanic,1,5.606889797,0,0,1
11892,1984,Black,0,12.71455927,0,0,0
11892,1985,Black,0,7.596354614,1,0,0
11892,1986,Black,0,9.233317176,0,1,0
11892,1987,Black,0,9.375557271,0,0,1
12179,1984,Hispanic,1,4.226542638,0,0,0
12179,1985,Hispanic,1,4.26937936,1,0,0
12179,1986,Hispanic,1,6.235486363,0,1,0
12179,1987,Hispanic,1,6.999370471,0,0,1
12182,1984,Hispanic,1,7.770008611,0,0,0
12182,1985,Hispanic,1,6.862331178,1,0,0
12182,1986,Hispanic,1,7.25357742,0,1,0
12182,1987,Hispanic,1,8.941960768,0,0,1
12220,1984,Hispanic,1,7.060247108,0,0,0
12220,1985,Hispanic,1,7.471414347,1,0,0
12220,1986,Hispanic,1,7.959755467,0,1,0
12220,1987,Hispanic,1,9.18667337,0,0,1
